-3,PER VEHICLE,2,Opposite,Directional,48.00,15,35.00,AB,Westfir store,4345.466&,N,12229.609&,W,Fred Gerding,5,19,11,14,51,5,24,11,14,44,North,South,F,F,F,F,7.00,T,95.00,F,T,T,T,Best Match,40.00,3.40,117.00,3.40,16.00,7.00,7.00,5.00,30,Div By 2,10,12,24,36,48,60,72,84,96,108,120
-2,"Westfir store","4345.466,N","12229.609,W","Fred Gerding","","","","041311-0101 OMG","Omega","1.25",PER VEHICLE,563.27,05/19/11,14:51:00,05/24/11,14:44:00,2,15
-1,1,"North",121.92,A-A,,Directional
-1,2,"South",121.92,A-A,,Directional
2,05/19/11,17:38:54.43,454.55,2,260.89,260.89
1,05/19/11,17:38:58.15,592.88,2,299.64,299.64
2,05/19/11,17:50:31.91,522.76,2,266.30,266.30
1,05/19/11,17:54:16.80,369.92,2,252.66,252.66
2,05/19/11,17:54:28.24,491.39,2,274.29,274.29
2,05/19/11,17:59:00.57,433.54,2,296.90,296.90
2,05/19/11,18:00:32.93,561.84,2,299.79,299.79
2,05/19/11,18:03:27.08,379.35,2,433.91,433.91
2,05/19/11,18:06:09.32,422.19,2,274.36,274.36
2,05/19/11,18:06:57.36,373.89,2,291.05,291.05
2,05/19/11,18:07:39.00,417.45,2,291.56,291.56
1,05/19/11,18:13:51.89,524.20,2,334.18,334.18
2,05/19/11,18:16:57.77,472.97,2,282.78,282.78
2,05/19/11,18:23:41.86,453.61,2,366.05,366.05
2,05/19/11,18:29:01.49,341.03,2,265.15,265.15
1,05/19/11,18:36:41.56,389.04,2,261.75,261.75
2,05/19/11,18:37:34.52,432.85,2,276.16,276.16
2,05/19/11,18:40:36.19,541.67,2,276.40,276.40
2,05/19/11,18:42:40.20,473.17,2,270.01,270.01
2,05/19/11,18:54:07.12,476.40,2,270.08,270.08
1,05/19/11,18:54:22.00,158.73,2,159.86,159.86
1,05/19/11,18:56:12.62,539.07,2,263.80,263.80
2,05/19/11,18:56:53.83,464.41,2,263.25,263.25
2,05/19/11,18:59:38.20,465.39,2,300.17,300.17
2,05/19/11,19:00:24.45,532.27,2,361.10,361.10
2,05/19/11,19:06:21.77,501.27,2,314.06,314.06
1,05/19/11,19:07:01.96,429.30,2,256.00,256.00
1,05/19/11,19:07:48.55,413.99,2,320.04,320.04
2,05/19/11,19:09:35.22,484.34,2,312.66,312.66
2,05/19/11,19:12:53.26,432.98,2,317.05,317.05
1,05/19/11,19:14:42.45,603.65,2,268.59,268.59
1,05/19/11,19:16:47.79,476.66,2,394.53,394.53
1,05/19/11,19:21:02.60,472.51,2,355.76,355.76
2,05/19/11,19:22:25.41,449.70,2,265.25,265.25
1,05/19/11,19:24:10.12,436.16,2,273.52,273.52
2,05/19/11,19:25:39.98,544.89,2,339.89,339.89
2,05/19/11,19:26:05.99,371.64,2,285.72,285.72
2,05/19/11,19:29:15.09,372.81,2,244.10,244.10
1,05/19/11,19:29:48.57,425.67,2,281.94,281.94
1,05/19/11,19:29:51.78,419.13,2,259.81,259.81
1,05/19/11,19:38:31.14,475.48,2,265.47,265.47
2,05/19/11,19:47:10.89,413.99,2,265.07,265.07
1,05/19/11,19:49:03.14,325.51,2,264.91,264.91
2,05/19/11,20:09:59.67,593.36,2,335.51,335.51
1,05/19/11,20:29:20.25,612.41,2,308.70,308.70
1,05/19/11,20:32:26.84,443.21,2,260.66,260.66
1,05/19/11,20:34:23.15,443.35,2,251.81,251.81
2,05/19/11,20:34:44.51,389.66,2,312.27,312.27
2,05/19/11,20:48:17.18,503.74,2,272.36,272.36
2,05/19/11,20:50:24.43,586.15,2,268.25,268.25
2,05/19/11,20:54:19.23,530.92,2,295.12,295.12
2,05/19/11,20:54:23.44,475.89,2,399.28,399.28
2,05/19/11,21:11:48.22,498.88,2,280.77,280.77
2,05/19/11,21:19:28.81,589.94,2,267.55,267.55
1,05/19/11,21:27:48.53,476.30,2,263.70,263.70
2,05/19/11,21:32:21.96,455.63,2,236.47,236.47
2,05/19/11,21:35:27.13,480.47,2,276.21,276.21
2,05/19/11,21:49:32.83,486.17,2,255.64,255.64
2,05/19/11,22:01:47.12,392.34,2,284.75,284.75
2,05/19/11,22:26:22.47,550.01,2,358.27,358.27
1,05/19/11,22:42:54.60,444.87,2,351.17,351.17
1,05/19/11,22:44:57.96,403.34,2,291.90,291.90
2,05/19/11,23:10:10.45,485.95,2,277.87,277.87
2,05/19/11,23:11:23.88,497.91,2,306.27,306.27
2,05/20/11,00:10:33.16,510.18,2,269.08,269.08
2,05/20/11,01:03:22.16,475.01,2,267.01,267.01
2,05/20/11,01:59:25.43,405.09,2,293.44,293.44
1,05/20/11,03:07:54.04,562.49,2,264.76,264.76
1,05/20/11,03:08:53.55,468.02,2,366.10,366.10
1,05/20/11,03:09:02.79,485.74,2,394.20,394.20
2,05/20/11,03:38:53.73,386.71,2,239.96,239.96
2,05/20/11,04:09:58.90,257.74,2,528.81,528.81
2,05/20/11,04:13:42.38,431.70,2,313.82,313.82
1,05/20/11,04:13:59.65,543.81,2,309.20,309.20
1,05/20/11,04:19:32.42,478.80,2,258.62,258.62
1,05/20/11,04:22:15.62,411.74,2,269.83,269.83
2,05/20/11,04:27:27.56,570.83,2,345.00,345.00
1,05/20/11,04:45:14.83,463.52,2,355.36,355.36
1,05/20/11,04:45:58.88,534.93,2,276.95,276.95
1,05/20/11,05:05:33.53,472.97,2,275.17,275.17
1,05/20/11,05:07:50.76,541.67,2,258.68,258.68
1,05/20/11,05:15:09.55,510.78,2,242.51,242.51
1,05/20/11,05:20:48.72,558.98,2,255.27,255.27
1,05/20/11,05:21:16.36,500.18,2,266.11,266.11
1,05/20/11,05:33:01.60,402.89,2,237.33,237.33
2,05/20/11,05:39:29.43,451.37,2,329.49,329.49
1,05/20/11,05:42:28.71,564.44,2,259.03,259.03
1,05/20/11,05:45:01.43,502.82,2,260.81,260.81
1,05/20/11,05:47:42.11,476.25,2,319.52,319.52
1,05/20/11,05:48:44.97,465.05,2,226.04,226.04
1,05/20/11,05:50:01.88,490.35,2,361.06,361.06
1,05/20/11,05:51:30.04,441.87,2,265.01,265.01
1,05/20/11,05:54:24.63,473.07,2,323.80,323.80
1,05/20/11,05:55:38.86,674.42,2,269.69,269.69
1,05/20/11,06:03:21.01,557.42,2,357.06,357.06
1,05/20/11,06:05:05.85,438.56,2,277.65,277.65
1,05/20/11,06:07:40.35,491.78,2,251.16,251.16
1,05/20/11,06:10:40.77,660.12,2,273.05,273.05
1,05/20/11,06:15:28.42,482.06,2,390.28,390.28
2,05/20/11,06:15:40.45,519.48,2,258.37,258.37
1,05/20/11,06:17:48.71,529.26,2,247.62,247.62
2,05/20/11,06:20:08.04,438.12,2,362.39,362.39
1,05/20/11,06:35:21.53,459.30,2,267.88,267.88
2,05/20/11,06:35:29.80,423.58,2,245.51,245.51
2,05/20/11,06:37:17.07,261.19,3,448.81,27.25,421.55
1,05/20/11,06:38:43.03,321.83,2,447.04,447.04
1,05/20/11,06:49:17.65,577.67,2,264.62,264.62
2,05/20/11,06:50:37.21,546.18,2,268.55,268.55
2,05/20/11,06:51:55.90,341.17,2,407.33,407.33
2,05/20/11,06:52:53.77,383.26,2,353.33,353.33
2,05/20/11,06:52:54.66,390.70,2,85.66,85.66
1,05/20/11,06:53:09.99,571.05,2,301.06,301.06
2,05/20/11,06:54:56.44,502.71,2,290.41,290.41
1,05/20/11,06:58:14.88,633.53,2,271.68,271.68
1,05/20/11,07:02:03.28,596.92,2,264.68,264.68
1,05/20/11,07:02:57.16,355.57,2,253.38,253.38
2,05/20/11,07:07:57.26,441.16,2,266.31,266.31
1,05/20/11,07:09:04.24,503.86,2,266.67,266.67
1,05/20/11,07:10:52.74,515.82,2,250.26,250.26
1,05/20/11,07:12:16.72,600.92,2,323.21,323.21
1,05/20/11,07:13:41.11,485.90,2,429.26,429.26
2,05/20/11,07:15:32.12,460.46,2,711.40,711.40
1,05/20/11,07:15:52.87,524.89,2,350.71,350.71
1,05/20/11,07:16:15.47,535.85,2,348.23,348.23
2,05/20/11,07:17:06.50,525.20,2,303.23,303.23
2,05/20/11,07:19:46.63,308.44,2,277.85,277.85
1,05/20/11,07:23:56.02,453.05,2,217.93,217.93
2,05/20/11,07:25:17.14,388.28,2,263.87,263.87
1,05/20/11,07:45:06.08,592.32,2,260.28,260.28
2,05/20/11,07:50:43.43,275.91,2,267.84,267.84
2,05/20/11,07:55:21.72,560.05,2,448.29,448.29
1,05/20/11,08:01:29.05,463.43,2,442.51,442.51
1,05/20/11,08:02:49.42,565.97,2,285.88,285.88
2,05/20/11,08:09:26.60,437.34,2,222.87,222.87
2,05/20/11,08:15:40.61,271.64,2,408.67,408.67
2,05/20/11,08:15:40.65,271.91,2,329.85,329.85
1,05/20/11,08:21:18.14,388.90,2,217.88,217.88
1,05/20/11,08:24:29.79,393.71,2,347.66,347.66
1,05/20/11,08:24:30.65,384.77,2,84.55,84.55
2,05/20/11,08:25:16.60,354.48,2,321.82,321.82
2,05/20/11,08:25:16.66,359.06,2,219.66,219.66
1,05/20/11,08:30:12.18,504.26,2,267.11,267.11
2,05/20/11,08:32:41.46,521.46,2,270.45,270.45
1,05/20/11,08:34:16.95,465.59,2,263.41,263.41
1,05/20/11,08:35:26.77,325.31,2,261.80,261.80
2,05/20/11,08:37:11.70,384.30,3,979.98,347.73,632.25
2,05/20/11,08:38:43.69,376.46,2,272.74,272.74
1,05/20/11,08:41:20.21,502.82,2,268.70,268.70
1,05/20/11,08:41:41.28,460.99,2,300.21,300.21
1,05/20/11,08:41:55.49,489.91,2,247.72,247.72
2,05/20/11,08:43:43.70,309.83,2,262.37,262.37
2,05/20/11,08:46:01.10,432.30,2,266.37,266.37
1,05/20/11,08:47:03.65,429.09,2,272.96,272.96
1,05/20/11,08:47:06.85,379.52,2,257.39,257.39
1,05/20/11,08:57:04.44,475.17,2,308.52,308.52
2,05/20/11,08:59:27.68,439.01,2,52.96,52.96
2,05/20/11,08:59:27.76,243.14,3,216.85,191.57,25.28
2,05/20/11,08:59:28.15,439.01,2,295.04,295.04
2,05/20/11,08:59:47.98,189.83,2,251.15,251.15
2,05/20/11,09:05:49.78,238.73,2,402.98,402.98
1,05/20/11,09:06:58.48,420.86,2,270.34,270.34
1,05/20/11,09:10:49.99,515.40,2,286.25,286.25
1,05/20/11,09:12:20.49,369.70,2,254.33,254.33
1,05/20/11,09:13:37.47,505.66,2,303.63,303.63
2,05/20/11,09:13:52.94,327.03,2,253.58,253.58
2,05/20/11,09:13:52.99,427.19,2,321.75,321.75
1,05/20/11,09:15:11.33,467.13,2,309.07,309.07
1,05/20/11,09:22:23.47,537.36,2,301.10,301.10
2,05/20/11,09:22:42.00,430.31,2,266.71,266.71
1,05/20/11,09:26:47.27,502.71,2,260.22,260.22
1,05/20/11,09:27:03.10,451.18,2,294.07,294.07
1,05/20/11,09:29:03.85,555.30,2,319.38,319.38
1,05/20/11,09:30:30.79,191.66,2,461.83,461.83
1,05/20/11,09:30:30.76,147.25,2,398.59,398.59
2,05/20/11,09:31:20.18,462.65,2,274.36,274.36
1,05/20/11,09:32:24.61,544.96,2,274.95,274.95
1,05/20/11,09:35:59.46,229.69,2,264.01,264.01
1,05/20/11,09:36:37.54,506.94,2,279.68,279.68
2,05/20/11,09:46:48.32,456.20,2,367.24,367.24
1,05/20/11,09:50:50.82,269.02,2,333.06,333.06
2,05/20/11,09:53:43.92,437.60,2,240.86,240.86
2,05/20/11,09:55:24.27,356.32,2,404.40,404.40
1,05/20/11,09:57:34.76,582.42,2,265.73,265.73
2,05/20/11,10:01:09.05,401.71,2,268.78,268.78
1,05/20/11,10:01:54.38,543.88,2,295.40,295.40
2,05/20/11,10:01:59.51,475.12,2,313.83,313.83
2,05/20/11,10:03:19.83,436.08,2,243.08,243.08
1,05/20/11,10:03:23.13,534.09,2,269.09,269.09
1,05/20/11,10:06:33.96,428.54,2,309.87,309.87
1,05/20/11,10:07:34.82,328.45,2,236.36,236.36
1,05/20/11,10:09:56.68,514.07,2,283.94,283.94
1,05/20/11,10:10:31.44,447.18,2,248.66,248.66
1,05/20/11,10:11:37.77,491.34,2,370.15,370.15
1,05/20/11,10:12:05.42,453.28,2,252.12,252.12
2,05/20/11,10:13:01.64,452.30,2,323.72,323.72
2,05/20/11,10:13:40.94,594.73,2,315.87,315.87
2,05/20/11,10:15:01.58,448.10,2,280.40,280.40
1,05/20/11,10:15:14.60,502.19,3,622.36,266.38,355.98
2,05/20/11,10:16:31.33,182.36,2,245.89,245.89
2,05/20/11,10:18:04.20,421.42,2,262.28,262.28
2,05/20/11,10:18:27.23,440.85,2,279.14,279.14
2,05/20/11,10:23:57.15,459.88,2,251.68,251.68
2,05/20/11,10:27:54.02,430.14,2,270.45,270.45
2,05/20/11,10:34:13.10,395.38,2,267.85,267.85
1,05/20/11,10:37:05.54,317.18,2,265.58,265.58
2,05/20/11,10:39:34.74,534.22,2,438.96,438.96
1,05/20/11,10:42:19.08,469.17,2,281.02,281.02
2,05/20/11,10:42:58.08,424.93,2,323.82,323.82
1,05/20/11,10:44:22.17,436.95,2,275.52,275.52
1,05/20/11,10:45:51.35,515.34,2,289.09,289.09
2,05/20/11,10:47:42.79,485.25,3,766.58,401.01,365.57
1,05/20/11,10:51:54.98,242.60,2,148.54,148.54
1,05/20/11,10:54:49.94,392.59,2,264.41,264.41
2,05/20/11,10:56:49.21,437.34,2,223.54,223.54
1,05/20/11,10:59:15.49,508.59,2,259.70,259.70
1,05/20/11,11:05:13.48,431.19,2,275.58,275.58
1,05/20/11,11:05:57.19,341.83,2,279.37,279.37
2,05/20/11,11:17:42.01,531.18,2,252.24,252.24
2,05/20/11,11:19:10.45,410.85,2,413.81,413.81
2,05/20/11,11:19:48.43,643.75,2,272.63,272.63
1,05/20/11,11:31:51.41,355.37,2,338.10,338.10
1,05/20/11,11:31:53.72,335.97,2,268.51,268.51
2,05/20/11,11:32:58.77,387.80,2,273.02,273.02
2,05/20/11,11:35:36.42,443.84,2,406.67,406.67
2,05/20/11,11:35:42.46,485.79,2,333.63,333.63
1,05/20/11,11:39:01.77,380.70,2,268.31,268.31
2,05/20/11,11:39:39.90,470.08,2,377.47,377.47
2,05/20/11,11:42:38.31,205.48,2,285.16,285.16
2,05/20/11,11:42:38.38,215.82,2,230.13,230.13
1,05/20/11,11:45:42.11,400.10,2,273.26,273.26
2,05/20/11,11:56:53.90,398.50,2,277.24,277.24
2,05/20/11,11:57:46.73,446.91,2,259.67,259.67
1,05/20/11,12:00:44.93,355.94,2,274.24,274.24
1,05/20/11,12:00:50.03,327.99,2,271.13,271.13
2,05/20/11,12:02:23.95,489.97,2,149.70,149.70
1,05/20/11,12:04:11.02,450.67,2,280.63,280.63
2,05/20/11,12:05:41.25,481.21,2,352.93,352.93
1,05/20/11,12:06:53.09,297.73,2,290.85,290.85
2,05/20/11,12:11:35.03,462.79,2,250.42,250.42
1,05/20/11,12:14:28.79,604.73,2,274.35,274.35
1,05/20/11,12:18:36.02,440.41,2,266.75,266.75
2,05/20/11,12:20:36.84,469.02,2,329.58,329.58
2,05/20/11,12:20:40.27,461.96,2,438.13,438.13
1,05/20/11,12:21:47.26,492.50,2,294.68,294.68
2,05/20/11,12:22:35.52,515.58,2,310.36,310.36
2,05/20/11,12:23:39.57,409.66,2,438.69,438.69
2,05/20/11,12:23:50.70,443.88,2,275.06,275.06
2,05/20/11,12:25:12.57,432.30,2,266.14,266.14
1,05/20/11,12:31:21.04,424.36,3,753.88,395.83,358.05
1,05/20/11,12:32:18.04,478.07,2,270.61,270.61
2,05/20/11,12:36:14.81,362.59,2,395.56,395.56
1,05/20/11,12:40:40.27,456.37,2,1300.61,1300.61
1,05/20/11,12:41:22.48,442.85,2,304.25,304.25
2,05/20/11,12:45:46.31,422.52,2,254.72,254.72
